State,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19
Baden-Württemberg,0,0,0,0,0,0,0,0,0,1,1,2,3,3,2,2,6,10,16,21,21,30,37,56,70,101,101,119,165,197,241,285,316,367,387,433,464,519,570,622,649,677,711,767,802,872,919,968
Bayern,0,0,0,0,0,0,0,0,0,1,1,1,4,5,4,4,8,12,19,21,26,30,37,47,55,77,107,127,162,225,268,307,349,396,437,481,564,635,703,747,786,820,872,954,1049,1137,1198,1256
Berlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4,8,8,9,11,13,16,19,20,22,24,26,28,32,37,42,46,50,51,56,62,74,84,91,92
Brandenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,4,7,9,12,17,19,20,22,30,37,37,38,38,40,42,54,60,62,66
Bremen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,4,5,6,6,6,6,8,9,10,11,13,15,15,17,20,21,21,22,24,25
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,9,14,14,16,16,19,19,20,23,44,53,56,56,56,59,67,80,84,90,91
Hessen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,4,6,7,9,9,13,17,21,27,33,42,56,61,73,84,100,111,120,123,135,147,173,187,197,212,230
Mecklenburg-Vorpommern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,4,5,5,6,8,11,11,11,11,11,11,11,11,13,13,14,15
Niedersachsen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,7,8,10,12,21,26,34,42,45,65,85,89,92,111,121,141,161,171,189,201,211,224,248,274,281,288
Nordrhein-Westfalen,0,0,0,0,0,0,2,2,3,3,3,5,5,5,6,6,6,6,6,6,28,33,43,53,72,80,98,101,117,134,161,178,200,245,255,282,348,384,446,472,495,518,545,607,663,726,791,814
Rheinland-Pfalz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,5,6,8,11,12,18,19,23,26,26,29,32,32,34,45,50,51,59,64,68,70,77,87,92,99,106
Saarland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,7,7,8,11,12,14,14,14,16,23,23,36,41,43,44,52,58,71,76,86,91
Sachsen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,7,9,9,9,12,17,18,21,24,32,34,38,50,52,59,65,67,68,70,73,94,95,103,107
Sachsen-Anhalt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,6,7,8,11,11,12,12,12,16,16,18,18,21,24,25,26,26,28,29,30
Schleswig-Holstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,4,4,6,7,9,10,11,15,17,18,20,24,28,34,38,39,41,44,49,54,55,59,61,62
Thüringen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,5,5,5,6,6,7,9,10,10,12,18,20,20,24,25,25,27,31,38,45,49,50,53
